,symbol,entry_date,entry_price,exit_date,exit_price,size,pnl,return,holding_days,holding_bars
0,SPY,2024-09-19 13:30:00,570.03,2024-10-02 14:25:00,568.36,101.02513883469358,-283.4918590222005,-0.0029296703682261116,13.038194444444445,1016
1,SPY,2024-10-11 16:10:00,578.99,2024-10-11 18:05:00,579.4,102.38706182297203,-76.60810882942314,0.0007081296740876208,0.0798611111111111,6
2,SPY,2024-11-12 20:10:00,597.7,2024-11-18 16:15:00,588.6,91.23702681784607,-937.6074698983793,-0.015225029278902458,5.836805555555555,455
3,SPY,2024-11-29 17:15:00,603.21,2024-12-18 20:50:00,590.4,88.7484154130163,-1241.6089332959746,-0.021236385338439412,19.149305555555557,1493
4,SPY,2024-12-19 14:30:00,592.76,2024-12-20 15:25:00,586.98,100.51408136912707,-698.9119015221659,-0.009750995343815294,1.0381944444444444,80
5,SPY,2025-01-02 16:00:00,585.59,2025-01-07 18:05:00,591.81,91.09376641806487,458.8367335145085,0.010621766082070883,5.086805555555555,396
6,SPY,2025-01-13 15:00:00,577.48,2025-01-17 15:50:00,597.89,93.21457770572405,1791.1011353087379,0.035343215349449286,4.034722222222222,314
7,SPY,2025-01-28 17:55:00,603.83,2025-01-30 16:50:00,603.93,88.50294484718195,-97.99542289492092,0.00016560952585975564,1.9548611111111112,152
8,SPY,2025-02-07 17:15:00,601.46,2025-02-26 17:50:00,596.27,84.81579651007644,-541.2896407424414,-0.008629002759950821,19.024305555555557,1483
9,SPY,2025-02-27 15:25:00,595.45,2025-02-27 19:30:00,589.35,98.04205534329381,-713.5609271419235,-0.010244353010328333,0.1701388888888889,13
10,SPY,2025-03-03 16:30:00,592.3,2025-03-03 20:45:00,581.86,93.16708924384842,-1081.0306065980767,-0.01762620293770034,0.17708333333333334,13
11,SPY,2025-03-11 15:30:00,558.17,2025-03-11 18:00:00,556.37,91.69497100630578,-267.03259351789166,-0.0032248239783577715,0.10416666666666667,8
12,SPY,2025-03-11 19:55:00,556.11,2025-03-12 14:40:00,556.58,103.71770606067744,-66.64935262915242,0.0008451565337792566,0.78125,60
13,SPY,2025-03-18 13:30:00,564.05,2025-03-20 14:20:00,569.46,100.42635780882465,428.9861971038408,0.009591348284726742,2.0347222222222223,158
14,SPY,2025-04-08 17:50:00,505.28,2025-04-08 18:40:00,501.53,105.65658008783991,-502.1390746077086,-0.00742162761241294,0.034722222222222224,2
15,SPY,2025-04-11 14:45:00,525.91,2025-04-11 15:55:00,526.94,105.3472169481992,-2.460179878224153,0.001958510011218717,0.04861111111111111,3
16,SPY,2025-04-14 15:10:00,540.65,2025-04-14 19:00:00,541.4,99.75967605406098,-33.146010302174545,0.0013872190881345503,0.1597222222222222,12
17,SPY,2025-04-22 15:40:00,523.89,2025-04-23 16:20:00,534.6,94.17678027189854,907.9898501520584,0.020443222813949502,1.0277777777777777,80
18,SPY,2025-04-24 15:15:00,543.08,2025-04-30 14:40:00,546.9,99.51185913069926,271.34365339786746,0.007033954481844074,5.975694444444445,466
19,SPY,2025-05-02 13:45:00,563.63,2025-05-05 14:50:00,564.9,88.60862888427305,12.472984784035361,0.0022532512463850907,3.045138888888889,237
20,SPY,2025-05-08 17:30:00,568.64,2025-05-12 14:05:00,579.03,89.7493624485938,828.6126967370074,0.01827166572875627,3.857638888888889,300
21,SPY,2025-05-27 13:30:00,585.08,2025-05-30 17:05:00,585.89,85.57509548673268,-30.909220452493173,0.001384426061393329,3.1493055555555554,245
22,SPY,2025-06-02 13:55:00,586.85,2025-06-11 18:20:00,600.88,85.63211751058523,1098.560809760762,0.023907301695492933,9.184027777777779,716
23,SPY,2025-06-25 16:45:00,606.51,2025-06-27 19:35:00,612.88,88.22834606990443,453.9218603753834,0.010502712238874778,2.1180555555555554,165
24,SPY,2025-07-25 13:30:00,635.25,2025-07-25 19:50:00,636.92,81.7620341812019,32.442923336035165,0.00262888626524993,0.2638888888888889,20
