,symbol,entry_date,entry_price,exit_date,exit_price,size,pnl,return,holding_days
0,SPY,2018-02-08,259.72,2018-02-16,273.34,311.19101882861537,4068.3848312255723,0.052441090405051405,8
1,SPY,2018-03-15,275.67,2018-04-17,270.25,201.34737906269805,-1200.0766387740223,-0.019661189102912924,33
2,SPY,2018-04-20,267.11,2018-08-08,285.14,200.0385660026288,3492.674390604123,0.06750028078319792,110
3,SPY,2018-08-10,283.7,2018-08-22,286.18,221.65313401512606,422.89781726651563,0.00874162848078952,12
4,SPY,2018-09-05,288.71,2018-11-08,280.39,284.36382936655133,-2525.2928757877526,-0.028817844896262712,64
5,SPY,2018-11-20,264.12,2018-11-29,274.16,268.6927611942502,2550.4193723796343,0.03801302438285625,9
6,SPY,2018-12-07,263.31,2019-01-02,246.7,228.20265489353648,-3902.984990111152,-0.06308153887053292,26
7,SPY,2019-02-07,269.46,2019-02-14,273.6,228.01872240013972,819.2880517616795,0.015364061456246025,7
8,SPY,2019-03-04,279.07,2019-03-29,282.58,220.85400107210071,650.4421054407794,0.0125774895187587,25
9,SPY,2019-04-09,287.12,2019-04-10,288.7,231.99479380232495,232.6649571631715,0.005502925606018394,1
10,SPY,2019-05-02,291.37,2019-06-18,292.82,226.1105619321748,195.50713500643906,0.004976490373065134,47
11,SPY,2019-06-28,294.47,2019-07-26,301.35,185.43139559323777,1164.0643793084892,0.02336400991612053,28
12,SPY,2019-09-16,300.5,2019-10-30,304.5,241.67869230700956,819.6060367748723,0.01331114808652245,44
13,SPY,2019-11-12,308.4,2019-11-14,310.62,208.3110265012602,333.1040423002196,0.0071984435797667334,2
14,SPY,2019-11-19,311.38,2019-11-26,314.42,221.77881135702083,534.8139304854703,0.009762990558160434,7
15,SPY,2019-12-03,309.25,2020-01-09,327.22,222.98739082220087,3861.2245109592914,0.0581083265966047,37
16,SPY,2020-01-17,331.6,2020-02-06,333.63,188.31732994175036,256.6903865156128,0.006121833534378673,20
17,SPY,2020-02-20,336.0,2020-04-06,266.55,244.71465372118178,-17125.824854143888,-0.20669642857142856,46
18,SPY,2020-05-06,283.68,2020-05-18,295.46,204.96277106504985,2293.405400768861,0.04152566271855607,12
19,SPY,2020-06-11,303.08,2020-06-22,312.33,163.5988957195721,1411.1471960489507,0.030519994720865862,11
20,SPY,2020-07-23,323.45,2020-08-03,328.83,171.92941359202592,811.965682531234,0.01663317359715566,11
