date,open,high,low,close,volume,average,barCount
2010-04-30,121.17,121.21,118.78,118.89,256413300.0,119.868,639116
2010-05-03,119.2,120.68,118.81,120.25,170608400.0,120.064,472848
2010-05-04,120.25,120.6,116.92,117.55,330790700.0,117.833,810584
2010-05-05,117.37,118.0,115.97,117.13,302463400.0,116.877,758623
2010-05-06,116.86,117.35,105.0,112.46,592561200.0,113.988,1544485
2010-05-07,113.0,114.1,109.41,111.79,600172700.0,111.802,1574706
2010-05-10,115.75,116.69,111.31,116.02,367613600.0,115.742,1043904
2010-05-11,115.28,117.36,114.53,115.3,281580400.0,116.11,871087
2010-05-12,116.12,117.62,115.49,117.36,209908100.0,116.961,644377
2010-05-13,117.38,117.79,115.89,116.0,221556900.0,116.866,668778
2010-05-14,115.75,116.03,112.87,113.95,322226700.0,113.802,943291
2010-05-17,113.63,114.52,111.77,114.13,297250200.0,113.227,848485
2010-05-18,114.46,115.22,111.31,111.34,332309300.0,113.446,969357
2010-05-19,111.43,112.77,110.36,112.05,373364900.0,111.629,1144251
2010-05-20,111.71,112.08,106.69,107.19,490304000.0,108.861,1465412
2010-05-21,108.06,109.38,105.64,109.28,470514900.0,107.969,1322696
2010-05-24,108.51,109.39,106.83,106.91,244735000.0,108.602,695075
2010-05-25,105.07,108.95,104.27,108.7,364535100.0,106.089,1048211
2010-05-26,108.34,109.47,106.1,106.83,329125300.0,108.375,985875
2010-05-27,108.62,110.9,106.97,110.7,269925700.0,109.774,803160
2010-05-28,110.59,111.18,108.85,109.37,275587600.0,109.841,852085
2010-06-01,108.04,109.95,107.16,107.66,257265300.0,108.846,799257
2010-06-02,107.86,110.5,107.44,110.25,213874900.0,108.966,662929
2010-06-03,110.87,111.06,109.58,110.69,217804000.0,110.463,636056
2010-06-04,110.96,111.19,106.46,107.22,342723600.0,107.977,990717
2010-06-07,106.57,107.61,105.22,105.7,250357100.0,106.562,746457
2010-06-08,106.25,106.83,104.65,106.38,332275100.0,105.675,1009406
2010-06-09,106.39,108.28,105.6,106.0,249927600.0,107.009,739367
2010-06-10,106.59,109.28,106.59,108.99,269382400.0,108.428,758957
2010-06-11,108.7,109.75,107.98,109.51,196039900.0,108.925,612150
2010-06-14,110.06,111.12,109.4,109.55,193550600.0,110.263,590447
2010-06-15,109.84,112.1,109.48,111.67,205273500.0,111.123,572041
2010-06-16,111.4,112.42,110.8,111.63,188122300.0,111.82,577330
2010-06-17,111.7,112.72,111.05,112.06,224084800.0,111.686,644637
2010-06-18,111.72,112.13,111.32,111.7,163868400.0,111.714,449319
2010-06-21,112.99,113.28,110.79,111.6,201102800.0,112.104,608330
2010-06-22,111.73,111.9,109.41,109.64,222341100.0,110.664,632489
2010-06-23,110.12,112.42,108.48,109.06,241696500.0,109.174,708898
2010-06-24,108.65,109.23,107.14,107.76,254879200.0,107.899,735125
2010-06-25,107.72,108.42,106.77,107.72,218924000.0,107.656,648935
2010-06-28,108.1,108.39,107.14,107.68,159881300.0,107.754,497274
2010-06-29,106.23,107.51,103.55,104.08,337032900.0,104.637,955787
2010-06-30,104.65,104.92,102.82,103.13,252546400.0,104.02,685667
2010-07-01,102.91,103.49,101.13,102.93,345687000.0,102.382,984613
2010-07-02,102.82,103.75,101.62,101.9,205856300.0,102.529,566788
2010-07-06,102.7,106.2,101.57,102.95,233266900.0,103.18,694757
2010-07-07,102.46,106.46,102.19,106.32,235254000.0,104.824,671296
2010-07-08,106.2,107.37,105.91,107.05,202899600.0,106.653,622098
2010-07-09,107.29,107.99,106.85,107.7,140741900.0,107.502,425773
2010-07-12,107.33,108.6,107.14,108.49,126694800.0,107.807,388402
2010-07-13,108.08,110.4,108.01,110.32,193819700.0,109.541,556612
2010-07-14,110.2,110.2,108.86,109.64,175640900.0,109.451,514376
2010-07-15,109.38,110.44,108.17,109.91,219248600.0,109.11,587380
2010-07-16,109.37,109.99,106.45,106.62,246188400.0,107.45,682178
2010-07-19,106.93,107.63,106.22,106.65,176448500.0,107.011,475720
2010-07-20,106.6,109.05,105.62,108.63,227201200.0,107.252,604253
2010-07-21,108.68,109.28,106.63,107.02,242840500.0,107.745,699120
2010-07-22,107.21,109.94,107.18,109.61,231832900.0,109.345,619497
2010-07-23,109.71,110.79,108.93,110.79,204031900.0,109.807,570699
2010-07-26,110.41,111.67,110.24,111.36,158893700.0,111.182,401101
2010-07-27,111.58,112.37,107.36,111.55,186966100.0,111.646,523471
2010-07-28,111.66,111.88,110.4,110.83,151599600.0,111.074,430854
2010-07-29,110.92,111.82,109.41,110.17,207641900.0,110.53,553674
2010-07-30,109.94,110.86,108.89,110.43,203232600.0,110.058,534902
2010-08-02,110.99,112.94,110.27,112.72,150019200.0,112.391,392965
2010-08-03,112.52,112.77,111.85,112.38,137141500.0,112.293,388251
2010-08-04,112.15,113.11,111.76,112.99,144427900.0,112.693,395338
2010-08-05,112.88,113.3,112.08,112.87,129192400.0,112.559,340826
2010-08-06,113.0,113.2,110.92,112.5,229188700.0,111.828,618141
2010-08-09,112.71,113.18,112.32,113.0,110286400.0,112.848,283293
2010-08-10,112.35,113.03,111.37,112.23,216467000.0,112.211,587083
2010-08-11,112.11,112.41,107.88,108.4,239998200.0,109.688,637345
2010-08-12,109.05,109.3,107.58,108.7,218176900.0,108.519,569295
2010-08-13,109.0,109.28,107.8,108.17,143857300.0,108.514,399327
2010-08-16,108.11,108.61,107.18,108.11,136617500.0,108.11,423357
2010-08-17,108.64,111.17,108.26,109.49,160792900.0,109.662,430543
2010-08-18,109.15,110.38,108.91,109.17,175432800.0,109.649,455118
2010-08-19,109.13,110.0,107.43,107.86,226686000.0,108.216,541414
2010-08-20,107.79,108.42,106.75,107.7,179326700.0,107.332,432941
2010-08-23,107.75,108.57,106.67,106.75,137882200.0,107.682,373044
2010-08-24,106.8,107.13,104.97,105.77,249055700.0,105.821,632580
2010-08-25,106.0,106.34,104.29,106.2,230649200.0,105.334,552481
2010-08-26,106.25,106.74,104.75,104.98,206543600.0,105.749,517251
2010-08-27,105.14,107.18,104.31,107.05,245270100.0,105.976,601184
2010-08-30,107.2,107.22,105.02,105.25,155533200.0,106.111,379962
2010-08-31,105.0,105.98,104.46,105.78,245494900.0,105.325,612802
2010-09-01,105.85,108.78,105.31,108.68,233372200.0,107.996,577483
2010-09-02,108.42,109.59,108.35,109.36,144645900.0,109.026,389397
2010-09-03,109.34,111.03,109.32,110.98,195053800.0,110.56,464001
2010-09-07,110.66,110.93,109.55,109.67,128733100.0,109.976,359438
2010-09-08,109.6,110.85,109.15,110.66,138496600.0,110.412,388677
2010-09-09,110.41,111.73,110.37,110.79,139036200.0,111.138,346229
2010-09-10,111.09,111.66,110.87,111.6,113362800.0,111.34,297430
2010-09-13,111.87,113.0,111.87,112.76,139219100.0,112.597,354615
2010-09-14,112.53,113.29,112.08,112.38,181961000.0,112.778,465134
2010-09-15,112.5,113.24,111.98,113.07,154990100.0,112.712,404887
2010-09-16,112.86,113.57,112.35,113.56,154993000.0,112.783,430367
2010-09-17,113.12,113.72,112.18,112.28,165418000.0,112.581,438526
2010-09-20,112.5,114.46,112.5,114.1,180503900.0,113.698,433761
2010-09-21,114.0,114.84,113.51,113.87,234137700.0,114.114,598527
2010-09-22,113.67,114.44,113.1,113.62,174704400.0,113.601,513676
2010-09-23,113.4,113.67,112.18,112.33,188167600.0,112.898,522680
2010-09-24,112.9,114.92,112.5,114.88,165669900.0,114.498,465620
2010-09-27,114.95,115.04,114.16,114.23,117864900.0,114.557,335549
2010-09-28,114.17,115.04,113.18,114.66,187474900.0,114.239,575751
2010-09-29,114.5,114.91,114.02,114.47,162301100.0,114.442,481870
2010-09-30,114.5,115.79,113.59,114.21,258473600.0,114.566,718545
2010-10-01,114.52,115.12,113.93,114.84,165740400.0,114.554,508310
2010-10-04,114.49,114.85,113.18,113.91,154046600.0,113.904,464301
2010-10-05,114.08,116.32,113.73,116.11,188697300.0,115.61,551195
2010-10-06,116.2,116.6,115.56,115.98,137937500.0,115.979,432997
2010-10-07,116.11,116.83,115.19,116.18,149778000.0,115.867,476954
2010-10-08,115.98,116.86,115.02,116.53,159476700.0,116.291,468490
2010-10-11,116.61,116.97,115.65,116.71,94499100.0,116.682,290410
2010-10-12,116.41,117.35,115.65,117.05,158728800.0,116.554,479366
2010-10-13,117.28,118.55,117.28,117.92,166012200.0,118.03,472768
2010-10-14,118.01,118.49,116.72,117.76,203049100.0,117.429,577634
2010-10-15,117.8,118.44,116.65,117.85,227045400.0,117.519,633976
2010-10-18,117.55,118.67,116.97,117.84,117728800.0,118.129,349869
2010-10-19,117.88,118.56,116.02,116.55,250642300.0,116.941,640153
2010-10-20,117.11,118.44,116.87,118.21,178760400.0,117.822,498732
2010-10-21,118.22,119.09,117.21,118.05,207280500.0,118.209,584177
2010-10-22,118.1,118.59,117.85,118.55,99639400.0,118.268,300403
2010-10-25,118.89,119.76,118.6,118.68,136674800.0,119.085,405242
2010-10-26,117.18,118.9,117.18,118.86,137398600.0,118.486,397035
2010-10-27,118.67,118.67,117.26,118.43,170663400.0,117.864,483029
2010-10-28,118.55,119.2,117.83,118.4,153715200.0,118.419,441697
2010-10-29,117.81,118.72,117.72,118.34,134088100.0,118.434,399953
2010-11-01,118.8,119.75,117.85,118.74,155494700.0,118.866,453497
2010-11-02,118.83,120.11,118.83,120.05,132904000.0,119.459,370242
2010-11-03,119.76,120.26,118.45,120.19,212825300.0,119.429,625086
2010-11-04,120.32,122.35,120.32,122.28,199096600.0,121.752,505061
2010-11-05,122.24,122.92,121.74,122.85,166289400.0,122.517,464989
2010-11-08,122.48,122.78,121.94,122.05,135049500.0,122.365,346622
2010-11-09,122.25,122.95,121.12,121.68,176945700.0,122.07,494671
2010-11-10,121.67,122.16,120.66,121.31,203782800.0,121.458,547932
2010-11-11,121.2,121.82,120.68,121.38,146728800.0,121.277,408176
2010-11-12,120.75,121.35,119.65,119.85,231689200.0,120.337,609391
2010-11-15,120.1,121.05,116.71,119.64,151442300.0,120.538,416227
2010-11-16,119.64,119.69,117.59,118.4,272569600.0,118.364,746652
2010-11-17,118.22,118.71,117.86,118.6,151760100.0,118.343,437617
2010-11-18,118.75,120.44,118.75,120.3,164631000.0,120.014,421587
2010-11-19,120.2,120.48,119.25,120.25,135497200.0,119.895,369289
2010-11-22,120.55,121.1,118.77,119.99,168453700.0,119.641,456041
2010-11-23,119.42,119.64,117.99,118.72,189270700.0,118.484,531024
2010-11-24,118.2,120.23,118.11,120.03,122686800.0,119.826,367599
2010-11-26,119.95,119.95,118.68,118.84,63862900.0,119.355,187336
2010-11-29,119.55,119.78,117.74,119.21,191027200.0,118.5,517856
