,symbol,entry_date,entry_price,exit_date,exit_price,size,pnl,return,holding_days,holding_bars
0,SPY,2024-09-11 15:45:00,544.86,2024-10-30 14:15:00,582.8,75.05998492996221,2760.3296547676146,0.0696325661637851,48.9375,3817
1,SPY,2025-03-11 18:05:00,556.65,2025-03-12 15:55:00,559.12,78.39274147390927,106.01200316438917,0.0044372586005569925,0.9097222222222222,70
2,SPY,2025-04-04 14:45:00,511.37,2025-06-12 14:45:00,603.04,87.86876881520143,7949.006260979229,0.17926354694252677,69.0,5382
3,SPY,2025-07-25 18:35:00,637.37,2025-07-25 19:50:00,636.92,76.73984928992084,-132.2383446551321,-0.0007060263269372813,0.052083333333333336,4
