date,date,symbol,signal,signal_type,stop_loss,take_profit,position_size
2019-04-11,2019-04-11,SPY,1,exit,,,0.1
2019-04-12,2019-04-12,SPY,1,exit,,,0.1
2019-04-15,2019-04-15,SPY,1,exit,,,0.1
2019-04-16,2019-04-16,SPY,1,exit,,,0.1
2019-04-17,2019-04-17,SPY,1,exit,,,0.1
2019-04-18,2019-04-18,SPY,1,exit,,,0.1
2019-04-22,2019-04-22,SPY,1,exit,,,0.1
2019-04-23,2019-04-23,SPY,1,exit,,,0.1
2019-04-24,2019-04-24,SPY,1,exit,,,0.1
2019-04-26,2019-04-26,SPY,1,exit,,,0.1
2019-04-29,2019-04-29,SPY,1,exit,,,0.1
2019-04-30,2019-04-30,SPY,1,exit,,,0.1
2019-05-28,2019-05-28,SPY,-1,exit,,,0.1
2019-05-29,2019-05-29,SPY,-1,exit,,,0.1
2019-05-30,2019-05-30,SPY,-1,exit,,,0.1
2019-05-31,2019-05-31,SPY,-1,exit,,,0.1
2019-06-03,2019-06-03,SPY,-1,exit,,,0.1
2019-06-10,2019-06-10,SPY,1,exit,,,0.1
2019-06-11,2019-06-11,SPY,1,exit,,,0.1
2019-06-12,2019-06-12,SPY,1,exit,,,0.1
2019-06-13,2019-06-13,SPY,1,exit,,,0.1
2019-06-14,2019-06-14,SPY,1,exit,,,0.1
2019-06-17,2019-06-17,SPY,1,exit,,,0.1
2019-06-18,2019-06-18,SPY,1,exit,,,0.1
2019-06-19,2019-06-19,SPY,1,exit,,,0.1
2019-06-20,2019-06-20,SPY,1,exit,,,0.1
2019-06-21,2019-06-21,SPY,1,exit,,,0.1
2019-06-24,2019-06-24,SPY,1,exit,,,0.1
2019-07-02,2019-07-02,SPY,1,exit,,,0.1
2019-07-03,2019-07-03,SPY,1,exit,,,0.1
2019-07-05,2019-07-05,SPY,1,exit,,,0.1
2019-07-11,2019-07-11,SPY,1,exit,,,0.1
2019-07-12,2019-07-12,SPY,1,exit,,,0.1
2019-07-15,2019-07-15,SPY,1,exit,,,0.1
2019-07-16,2019-07-16,SPY,1,exit,,,0.1
2019-07-26,2019-07-26,SPY,1,exit,,,0.1
2019-07-29,2019-07-29,SPY,1,exit,,,0.1
2019-08-02,2019-08-02,SPY,1,reversal,,,0.1
2019-08-05,2019-08-05,SPY,-1,exit,,,0.1
2019-09-04,2019-09-04,SPY,1,exit,,,0.1
2019-09-05,2019-09-05,SPY,1,exit,,,0.1
2019-09-06,2019-09-06,SPY,1,exit,,,0.1
2019-09-09,2019-09-09,SPY,1,exit,,,0.1
2019-09-10,2019-09-10,SPY,1,exit,,,0.1
2019-09-11,2019-09-11,SPY,1,exit,,,0.1
2019-09-12,2019-09-12,SPY,1,exit,,,0.1
2019-09-13,2019-09-13,SPY,1,exit,,,0.1
2019-09-16,2019-09-16,SPY,1,exit,,,0.1
2019-09-17,2019-09-17,SPY,1,exit,,,0.1
2019-09-18,2019-09-18,SPY,1,exit,,,0.1
2019-09-19,2019-09-19,SPY,1,exit,,,0.1
2019-10-02,2019-10-02,SPY,-1,exit,,,0.1
2019-10-15,2019-10-15,SPY,1,exit,,,0.1
2019-10-16,2019-10-16,SPY,1,exit,,,0.1
2019-10-17,2019-10-17,SPY,1,exit,,,0.1
2019-10-18,2019-10-18,SPY,1,exit,,,0.1
2019-10-21,2019-10-21,SPY,1,exit,,,0.1
2019-10-22,2019-10-22,SPY,1,exit,,,0.1
2019-10-23,2019-10-23,SPY,1,exit,,,0.1
2019-10-24,2019-10-24,SPY,1,exit,,,0.1
2019-10-25,2019-10-25,SPY,1,exit,,,0.1
2019-10-28,2019-10-28,SPY,1,exit,,,0.1
2019-10-29,2019-10-29,SPY,1,exit,,,0.1
2019-10-30,2019-10-30,SPY,1,exit,,,0.1
2019-10-31,2019-10-31,SPY,1,exit,,,0.1
2019-11-01,2019-11-01,SPY,1,exit,,,0.1
2019-11-04,2019-11-04,SPY,1,exit,,,0.1
2019-11-05,2019-11-05,SPY,1,exit,,,0.1
2019-11-06,2019-11-06,SPY,1,exit,,,0.1
2019-11-07,2019-11-07,SPY,1,exit,,,0.1
2019-11-08,2019-11-08,SPY,1,exit,,,0.1
2019-11-11,2019-11-11,SPY,1,exit,,,0.1
2019-11-12,2019-11-12,SPY,1,exit,,,0.1
2019-11-13,2019-11-13,SPY,1,exit,,,0.1
2019-11-14,2019-11-14,SPY,1,exit,,,0.1
2019-11-15,2019-11-15,SPY,1,exit,,,0.1
2019-11-18,2019-11-18,SPY,1,exit,,,0.1
2019-11-19,2019-11-19,SPY,1,exit,,,0.1
2019-11-26,2019-11-26,SPY,1,exit,,,0.1
2019-11-27,2019-11-27,SPY,1,exit,,,0.1
2019-11-29,2019-11-29,SPY,1,exit,,,0.1
2019-12-12,2019-12-12,SPY,1,exit,,,0.1
2019-12-13,2019-12-13,SPY,1,exit,,,0.1
2019-12-16,2019-12-16,SPY,1,exit,,,0.1
2019-12-17,2019-12-17,SPY,1,exit,,,0.1
2019-12-18,2019-12-18,SPY,1,exit,,,0.1
2019-12-19,2019-12-19,SPY,1,exit,,,0.1
2019-12-20,2019-12-20,SPY,1,exit,,,0.1
2019-12-23,2019-12-23,SPY,1,exit,,,0.1
2019-12-24,2019-12-24,SPY,1,exit,,,0.1
2019-12-26,2019-12-26,SPY,1,exit,,,0.1
2019-12-27,2019-12-27,SPY,1,exit,,,0.1
2019-12-31,2019-12-31,SPY,1,exit,,,0.1
2020-01-02,2020-01-02,SPY,1,exit,,,0.1
2020-01-13,2020-01-13,SPY,1,exit,,,0.1
2020-01-14,2020-01-14,SPY,1,exit,,,0.1
2020-01-15,2020-01-15,SPY,1,exit,,,0.1
2020-01-16,2020-01-16,SPY,1,exit,,,0.1
2020-01-17,2020-01-17,SPY,1,exit,,,0.1
2020-01-21,2020-01-21,SPY,1,exit,,,0.1
2020-01-22,2020-01-22,SPY,1,exit,,,0.1
2020-01-23,2020-01-23,SPY,1,exit,,,0.1
2020-02-06,2020-02-06,SPY,1,exit,,,0.1
2020-02-10,2020-02-10,SPY,1,exit,,,0.1
2020-02-11,2020-02-11,SPY,1,exit,,,0.1
2020-02-12,2020-02-12,SPY,1,exit,,,0.1
2020-02-13,2020-02-13,SPY,1,exit,,,0.1
2020-02-14,2020-02-14,SPY,1,exit,,,0.1
2020-02-18,2020-02-18,SPY,1,exit,,,0.1
2020-02-19,2020-02-19,SPY,1,exit,,,0.1
2020-02-20,2020-02-20,SPY,1,exit,,,0.1
2020-02-26,2020-02-26,SPY,-1,exit,,,0.1
2020-02-27,2020-02-27,SPY,-1,exit,,,0.1
2020-03-10,2020-03-10,SPY,-1,exit,,,0.1
2020-03-11,2020-03-11,SPY,-1,exit,,,0.1
2020-03-12,2020-03-12,SPY,-1,exit,,,0.1
2020-03-16,2020-03-16,SPY,-1,exit,,,0.1
2020-03-17,2020-03-17,SPY,-1,exit,,,0.1
2020-03-19,2020-03-19,SPY,-1,exit,,,0.1
2020-03-20,2020-03-20,SPY,-1,exit,,,0.1
2020-03-23,2020-03-23,SPY,-1,exit,,,0.1
2020-04-07,2020-04-07,SPY,-1,reversal,,,0.1
2020-04-29,2020-04-29,SPY,1,exit,,,0.1
2020-05-20,2020-05-20,SPY,1,exit,,,0.1
2020-05-21,2020-05-21,SPY,1,exit,,,0.1
2020-05-22,2020-05-22,SPY,1,exit,,,0.1
2020-05-26,2020-05-26,SPY,1,exit,,,0.1
2020-05-27,2020-05-27,SPY,1,exit,,,0.1
2020-05-28,2020-05-28,SPY,1,exit,,,0.1
2020-05-29,2020-05-29,SPY,1,exit,,,0.1
2020-06-01,2020-06-01,SPY,1,exit,,,0.1
2020-06-02,2020-06-02,SPY,1,exit,,,0.1
2020-06-03,2020-06-03,SPY,1,exit,,,0.1
2020-06-04,2020-06-04,SPY,1,exit,,,0.1
2020-06-05,2020-06-05,SPY,1,exit,,,0.1
2020-06-08,2020-06-08,SPY,1,exit,,,0.1
2020-06-09,2020-06-09,SPY,1,exit,,,0.1
2020-07-06,2020-07-06,SPY,1,exit,,,0.1
2020-07-07,2020-07-07,SPY,1,exit,,,0.1
2020-07-08,2020-07-08,SPY,1,exit,,,0.1
2020-07-09,2020-07-09,SPY,1,exit,,,0.1
2020-07-10,2020-07-10,SPY,1,exit,,,0.1
2020-07-14,2020-07-14,SPY,1,exit,,,0.1
2020-07-15,2020-07-15,SPY,1,exit,,,0.1
2020-07-16,2020-07-16,SPY,1,exit,,,0.1
2020-07-17,2020-07-17,SPY,1,exit,,,0.1
2020-07-20,2020-07-20,SPY,1,exit,,,0.1
2020-07-21,2020-07-21,SPY,1,exit,,,0.1
