,symbol,entry_date,entry_price,exit_date,exit_price,size,pnl,return,holding_days,holding_bars
0,SPY,2024-08-23 14:15:00,561.2,2024-08-23 15:20:00,561.86,32.7369021144929,-15.162362692710303,0.0011760513186029886,0.04513888888888889,3
1,SPY,2024-08-23 15:25:00,561.64,2024-08-23 16:00:00,559.22,32.18328965231394,-113.86064189809258,-0.0043088099138237634,0.024305555555555556,1
2,SPY,2024-08-23 16:15:00,559.19,2024-08-23 16:20:00,558.68,28.18809401898767,-45.85642855837796,-0.0009120334769936456,0.003472222222222222,0
3,SPY,2024-08-23 17:30:00,560.35,2024-08-23 17:35:00,560.52,28.98600099908117,-27.550599156886165,0.0003033818149369427,0.003472222222222222,0
4,SPY,2024-08-23 18:20:00,560.88,2024-08-23 19:50:00,562.48,30.71142856811009,14.606431591335422,0.0028526601055485212,0.0625,4
5,SPY,2024-08-26 14:00:00,562.98,2024-08-26 14:55:00,561.11,27.90995629951376,-83.49706888295259,-0.003321610003907738,0.03819444444444445,2
6,SPY,2024-08-26 16:15:00,560.42,2024-08-26 16:20:00,561.01,28.483511510988105,-15.13781825928163,0.0010527818421899315,0.003472222222222222,0
7,SPY,2024-08-26 16:55:00,561.5,2024-08-26 17:55:00,559.5,27.99512271888169,-87.30112448902946,-0.003561887800534236,0.041666666666666664,3
8,SPY,2024-08-26 19:15:00,560.64,2024-08-27 13:35:00,558.62,31.28476685378051,-98.13034566789429,-0.0036030251141552228,0.7638888888888888,59
9,SPY,2024-08-27 15:00:00,561.87,2024-08-27 17:25:00,561.79,31.750592685782937,-38.19654117928803,-0.00014238168971481002,0.10069444444444445,7
10,SPY,2024-08-27 17:50:00,561.97,2024-08-28 13:55:00,561.08,28.932305311558753,-58.20019411784051,-0.0015837144331547481,0.8368055555555556,65
11,SPY,2024-08-28 16:05:00,558.19,2024-08-28 16:50:00,558.45,29.20879324724652,-25.012703282976872,0.00046579121804390944,0.03125,2
12,SPY,2024-08-28 17:25:00,557.95,2024-08-28 17:55:00,555.34,31.557691078379833,-117.39854479334099,-0.0046778385159961244,0.020833333333333332,1
13,SPY,2024-08-28 19:40:00,558.54,2024-08-29 14:45:00,562.65,28.021671014530455,83.65204787026778,0.007358470297561537,0.7951388888888888,62
14,SPY,2024-08-29 15:05:00,562.35,2024-08-29 15:10:00,562.87,28.718865488269103,-17.380000593044315,0.0009246910287188381,0.003472222222222222,0
15,SPY,2024-08-29 15:30:00,562.17,2024-08-29 17:30:00,562.52,27.95733444606487,-21.652325929304425,0.0006225874735401593,0.08333333333333333,6
16,SPY,2024-08-29 18:10:00,562.05,2024-08-29 18:25:00,560.58,31.148636232748604,-80.69363895834977,-0.002615425673872296,0.010416666666666666,0
17,SPY,2024-08-30 13:50:00,561.52,2024-08-30 15:30:00,558.7,27.90869912038978,-109.87211932642094,-0.00502208291779449,0.06944444444444445,5
18,SPY,2024-08-30 16:10:00,559.36,2024-08-30 16:30:00,557.57,30.22656146790724,-87.79553935899821,-0.0032000858123568676,0.013888888888888888,1
19,SPY,2024-08-30 17:35:00,559.0,2024-08-30 18:45:00,560.54,30.62200255444698,12.845334167421242,0.002754919499105446,0.04861111111111111,3
20,SPY,2024-08-30 19:20:00,561.48,2024-09-03 13:45:00,559.3,30.14783592458901,-99.4287898962175,-0.0038825959962955903,3.767361111111111,293
21,SPY,2024-09-03 13:55:00,559.08,2024-09-03 14:00:00,557.39,27.56546142624867,-77.29969018656993,-0.0030228232095587115,0.003472222222222222,0
