,symbol,entry_date,entry_price,exit_date,exit_price,size,pnl,return,holding_days,holding_bars
0,SPY,2024-09-19 13:30:00,570.03,2024-10-02 14:25:00,568.36,166.65789519849832,-467.6673259302188,-0.0029296703682261116,13.038194444444445,1016
1,SPY,2024-10-11 16:10:00,578.99,2024-10-11 18:05:00,579.4,162.99957821441876,-121.95964221135364,0.0007081296740876208,0.0798611111111111,6
2,SPY,2024-11-12 20:10:00,597.7,2024-11-18 16:15:00,588.6,157.40314829328148,-1617.5709881466464,-0.015225029278902458,5.836805555555555,455
3,SPY,2024-11-29 17:15:00,603.21,2024-12-18 20:50:00,590.4,153.12134776112816,-2142.1997494126845,-0.021236385338439412,19.149305555555557,1493
4,SPY,2024-12-19 14:30:00,592.76,2024-12-20 15:25:00,586.98,152.0913328351924,-1057.5477703120414,-0.009750995343815294,1.0381944444444444,80
5,SPY,2025-01-02 16:00:00,585.59,2025-01-07 18:05:00,591.81,151.94523552751764,765.3438680159015,0.010621766082070883,5.086805555555555,396
6,SPY,2025-01-13 15:00:00,577.48,2025-01-17 15:50:00,597.89,155.04527456976237,2979.166715563042,0.035343215349449286,4.034722222222222,314
7,SPY,2025-01-28 17:55:00,603.83,2025-01-30 16:50:00,603.93,152.68461478191233,-169.0609665128868,0.00016560952585975564,1.9548611111111112,152
8,SPY,2025-02-07 17:15:00,601.46,2025-02-26 17:50:00,596.27,152.72783542215336,-974.7004516688758,-0.008629002759950821,19.024305555555557,1483
9,SPY,2025-02-27 15:25:00,595.45,2025-02-27 19:30:00,589.35,152.42102241636834,-1109.3370665324765,-0.010244353010328333,0.1701388888888889,13
10,SPY,2025-03-03 16:30:00,592.3,2025-03-03 20:45:00,581.86,151.1610654696302,-1753.9427240336954,-0.01762620293770034,0.17708333333333334,13
11,SPY,2025-03-11 15:30:00,558.17,2025-03-11 18:00:00,556.37,157.11388341458388,-457.54447932567564,-0.0032248239783577715,0.10416666666666667,8
12,SPY,2025-03-11 19:55:00,556.11,2025-03-12 14:40:00,556.58,156.61448787422438,-100.64100552952732,0.0008451565337792566,0.78125,60
13,SPY,2025-03-18 13:30:00,564.05,2025-03-20 14:20:00,569.46,153.9468325129419,657.6069039726281,0.009591348284726742,2.0347222222222223,158
14,SPY,2025-04-08 17:50:00,505.28,2025-04-08 18:40:00,501.53,172.76237115065626,-821.0632703093434,-0.00742162761241294,0.034722222222222224,2
15,SPY,2025-04-11 14:45:00,525.91,2025-04-11 15:55:00,526.94,164.18668679965563,-3.834261548036011,0.001958510011218717,0.04861111111111111,3
16,SPY,2025-04-14 15:10:00,540.65,2025-04-14 19:00:00,541.4,159.40004767857707,-52.96203668162343,0.0013872190881345503,0.1597222222222222,12
17,SPY,2025-04-22 15:40:00,523.89,2025-04-23 16:20:00,534.6,164.0907416899427,1582.0537453949073,0.020443222813949502,1.0277777777777777,80
18,SPY,2025-04-24 15:15:00,543.08,2025-04-30 14:40:00,546.9,160.75906608121093,438.3492850838229,0.007033954481844074,5.975694444444445,466
19,SPY,2025-05-02 13:45:00,563.63,2025-05-05 14:50:00,564.9,155.34216227769588,21.866723938801442,0.0022532512463850907,3.045138888888889,237
20,SPY,2025-05-08 17:30:00,568.64,2025-05-12 14:05:00,579.03,153.71735663870837,1419.1984204081673,0.01827166572875627,3.857638888888889,300
21,SPY,2025-05-27 13:30:00,585.08,2025-05-30 17:05:00,585.89,151.4184631973182,-54.691457052133046,0.001384426061393329,3.1493055555555554,245
22,SPY,2025-06-02 13:55:00,586.85,2025-06-11 18:20:00,600.88,150.58626354863847,1931.8472137792123,0.023907301695492933,9.184027777777779,716
23,SPY,2025-06-25 16:45:00,606.51,2025-06-27 19:35:00,612.88,148.45396402530335,763.7738043630088,0.010502712238874778,2.1180555555555554,165
24,SPY,2025-07-25 13:30:00,635.25,2025-07-25 19:50:00,636.92,142.61037316361856,56.58735683136911,0.00262888626524993,0.2638888888888889,20
