,symbol,entry_date,entry_price,exit_date,exit_price,size,pnl,return,holding_days
0,SPY,2018-03-22,262.0,2019-01-17,263.3,162.5732800870649,125.77698036398942,0.004961832061068705,301
1,SPY,2022-04-07,449.24,2022-08-12,427.19,97.99833761249691,-2244.549300135077,-0.049082895556940676,127
2,SPY,2023-04-25,407.9,2024-05-15,530.18,113.04976924372572,13703.912266534157,0.2997793576857073,386
3,SPY,2024-07-22,554.28,2024-08-21,561.17,86.89852548985299,501.2499143723471,0.012430540521036315,30
4,SPY,2024-08-28,554.46,2025-05-02,566.83,83.4212376044791,937.3966746048245,0.02230999531075284,247
